customer_id,customer_segment
CUST00001,Enterprise
CUST00002,Budget
CUST00003,Enterprise
CUST00004,Budget
CUST00005,Regular
CUST00006,Enterprise
CUST00007,Premium
CUST00008,Regular
CUST00009,Premium
CUST00010,Regular
CUST00011,Regular
CUST00012,Regular
CUST00013,Budget
CUST00014,Regular
CUST00015,Regular
CUST00016,Regular
CUST00017,Premium
CUST00018,Budget
CUST00019,Premium
CUST00020,Enterprise
CUST00021,Budget
CUST00022,Regular
CUST00023,Premium
CUST00024,Budget
CUST00025,Budget
CUST00026,Budget
CUST00027,Budget
CUST00028,Premium
CUST00029,Regular
CUST00030,Premium
CUST00031,Budget
CUST00032,Regular
CUST00033,Regular
CUST00034,Premium
CUST00035,Regular
CUST00036,Regular
CUST00037,Budget
CUST00038,Regular
CUST00039,Budget
CUST00040,Regular
CUST00041,Premium
CUST00042,Budget
CUST00043,Budget
CUST00044,Regular
CUST00045,Budget
CUST00046,Regular
CUST00047,Regular
CUST00048,Regular
CUST00049,Premium
CUST00050,Premium
CUST00051,Premium
CUST00052,Regular
CUST00053,Regular
CUST00054,Regular
CUST00055,Enterprise
CUST00056,Regular
CUST00057,Regular
CUST00058,Budget
CUST00059,Regular
CUST00060,Premium
CUST00061,Regular
CUST00062,Regular
CUST00063,Enterprise
CUST00064,Budget
CUST00065,Regular
CUST00066,Budget
CUST00067,Budget
CUST00068,Regular
CUST00069,Budget
CUST00070,Regular
CUST00071,Budget
CUST00072,Budget
CUST00073,Regular
CUST00074,Premium
CUST00075,Regular
CUST00076,Regular
CUST00077,Budget
CUST00078,Budget
CUST00079,Premium
CUST00080,Regular
CUST00081,Regular
CUST00082,Regular
CUST00083,Premium
CUST00084,Regular
CUST00085,Enterprise
CUST00086,Regular
CUST00087,Regular
CUST00088,Budget
CUST00089,Regular
CUST00090,Enterprise
CUST00091,Enterprise
CUST00092,Regular
CUST00093,Regular
CUST00094,Regular
CUST00095,Regular
CUST00096,Premium
CUST00097,Regular
CUST00098,Regular
CUST00099,Premium
CUST00100,Regular
CUST00101,Enterprise
CUST00102,Regular
CUST00103,Premium
CUST00104,Regular
CUST00105,Enterprise
CUST00106,Regular
CUST00107,Budget
CUST00108,Budget
CUST00109,Regular
CUST00110,Budget
CUST00111,Regular
CUST00112,Regular
CUST00113,Regular
CUST00114,Regular
CUST00115,Premium
CUST00116,Budget
CUST00117,Regular
CUST00118,Regular
CUST00119,Premium
CUST00120,Regular
CUST00121,Budget
CUST00122,Premium
CUST00123,Regular
CUST00124,Regular
CUST00125,Regular
CUST00126,Regular
CUST00127,Budget
CUST00128,Regular
CUST00129,Enterprise
CUST00130,Premium
CUST00131,Regular
CUST00132,Premium
CUST00133,Enterprise
CUST00134,Budget
CUST00135,Regular
CUST00136,Budget
CUST00137,Budget
CUST00138,Regular
CUST00139,Regular
CUST00140,Regular
CUST00141,Premium
CUST00142,Budget
CUST00143,Enterprise
CUST00144,Regular
CUST00145,Regular
CUST00146,Regular
CUST00147,Budget
CUST00148,Budget
CUST00149,Budget
CUST00150,Budget
CUST00151,Regular
CUST00152,Premium
CUST00153,Regular
CUST00154,Budget
CUST00155,Regular
CUST00156,Premium
CUST00157,Premium
CUST00158,Budget
CUST00159,Premium
CUST00160,Regular
CUST00161,Regular
CUST00162,Budget
CUST00163,Budget
CUST00164,Regular
CUST00165,Budget
CUST00166,Regular
CUST00167,Regular
CUST00168,Budget
CUST00169,Regular
CUST00170,Budget
CUST00171,Budget
CUST00172,Regular
CUST00173,Premium
CUST00174,Regular
CUST00175,Regular
CUST00176,Regular
CUST00177,Enterprise
CUST00178,Regular
CUST00179,Budget
CUST00180,Regular
CUST00181,Budget
CUST00182,Regular
CUST00183,Regular
CUST00184,Regular
CUST00185,Regular
CUST00186,Budget
CUST00187,Regular
CUST00188,Premium
CUST00189,Regular
CUST00190,Regular
CUST00191,Enterprise
CUST00192,Enterprise
CUST00193,Enterprise
CUST00194,Regular
CUST00195,Premium
CUST00196,Enterprise
CUST00197,Regular
CUST00198,Enterprise
