date,product_id,region,stock_available,stockout_hours,lead_time
2026-01-01,P001,North,888,0.54,5
2026-01-01,P001,South,1004,0.87,2
2026-01-01,P001,East,986,0.64,5
2026-01-01,P001,West,623,0.18,4
2026-01-01,P001,Central,885,0.45,3
2026-01-01,P002,North,706,0.4,2
2026-01-01,P002,South,839,0.99,3
2026-01-01,P002,East,645,0.2,4
2026-01-01,P002,West,974,0.22,6
2026-01-01,P002,Central,366,0.55,4
2026-01-01,P003,North,342,0.17,3
2026-01-01,P003,South,583,0.66,5
2026-01-01,P003,East,332,0.4,6
2026-01-01,P003,West,368,0.53,4
2026-01-01,P003,Central,556,0.32,3
2026-01-01,P004,North,974,1.15,3
2026-01-01,P004,South,1096,0.2,3
2026-01-01,P004,East,572,0.41,2
2026-01-01,P004,West,1081,0.33,7
2026-01-01,P004,Central,1038,0.41,6
2026-01-01,P005,North,298,0.27,6
2026-01-01,P005,South,906,0.12,7
2026-01-01,P005,East,987,0.81,3
2026-01-01,P005,West,693,0.07,5
2026-01-01,P005,Central,764,0.18,7
2026-01-01,P006,North,1164,0.26,5
2026-01-01,P006,South,1148,0.25,2
2026-01-01,P006,East,609,0.39,6
2026-01-01,P006,West,808,0.1,5
2026-01-01,P006,Central,959,0.23,3
2026-01-01,P007,North,365,0.02,4
2026-01-01,P007,South,648,0.05,4
2026-01-01,P007,East,524,0.21,3
2026-01-01,P007,West,894,0.54,5
2026-01-01,P007,Central,910,0.57,6
2026-01-01,P008,North,1390,0.21,7
2026-01-01,P008,South,509,0.21,3
2026-01-01,P008,East,559,0.38,4
2026-01-01,P008,West,436,0.19,7
2026-01-01,P008,Central,567,0.06,5
2026-01-01,P009,North,997,0.29,4
2026-01-01,P009,South,964,0.53,3
2026-01-01,P009,East,403,0.12,2
2026-01-01,P009,West,988,0.02,4
2026-01-01,P009,Central,427,0.11,3
2026-01-01,P010,North,277,1.17,3
2026-01-01,P010,South,275,0.3,2
2026-01-01,P010,East,245,0.04,4
2026-01-01,P010,West,284,0.03,3
2026-01-01,P010,Central,467,0.23,7
2026-01-01,P011,North,993,0.22,4
2026-01-01,P011,South,522,0.6,5
2026-01-01,P011,East,661,0.22,4
2026-01-01,P011,West,785,0.17,3
2026-01-01,P011,Central,516,0.09,2
2026-01-01,P012,North,1015,0.11,6
2026-01-01,P012,South,1243,0.19,4
2026-01-01,P012,East,442,0.14,5
2026-01-01,P012,West,1088,1.69,2
