date,campaign_id,channel,spend,impressions,clicks,conversions
2026-01-01,CAM001,Affiliate,25453.23,105158,3688,189
2026-01-01,CAM002,Email,20464.63,125622,9439,894
2026-01-01,CAM003,Paid Search,64057.06,252763,14757,1155
2026-01-01,CAM004,Display,36966.94,164622,4398,138
2026-01-01,CAM005,Affiliate,21217.07,89491,3258,178
2026-01-01,CAM006,Paid Search,62204.95,224983,12149,930
2026-01-01,CAM007,Display,34145.38,163971,3864,144
2026-01-01,CAM008,Paid Search,54945.28,205533,11060,840
2026-01-01,CAM009,Affiliate,25098.64,100930,3308,194
2026-01-01,CAM010,Email,20114.4,123827,9822,1063
2026-01-01,CAM011,Affiliate,29764.68,105329,3806,206
2026-01-01,CAM012,Email,19839.09,132981,10512,1035
2026-01-01,CAM013,Affiliate,26445.18,116515,3929,237
2026-01-01,CAM014,Paid Social,61909.66,286599,11705,736
2026-01-01,CAM015,Paid Search,57850.83,177851,9097,719
2026-01-01,CAM016,Paid Search,60701.32,223228,13049,923
2026-01-01,CAM017,Paid Social,78275.67,306264,13177,764
2026-01-01,CAM018,Email,14114.34,84958,6872,733
2026-01-01,CAM019,Paid Search,58532.58,177965,10685,762
2026-01-01,CAM020,Paid Social,54117.28,272817,12321,672
2026-01-01,CAM021,Paid Search,61361.61,210809,11585,854
2026-01-01,CAM022,Display,30223.55,149143,3817,131
2026-01-01,CAM023,Email,21392.12,164276,13053,1232
2026-01-01,CAM024,Display,38109.45,213524,5332,197
2026-01-01,CAM025,Email,19443.42,154403,13391,1384
2026-01-01,CAM026,Paid Social,65938.47,270578,10285,658
2026-01-01,CAM027,Email,19005.49,143027,12555,1320
2026-01-01,CAM028,Email,17413.07,139545,11786,1084
2026-01-01,CAM029,Paid Social,59109.98,229221,10242,608
2026-01-01,CAM030,Email,18222.87,118305,10373,1027
2026-01-01,CAM031,Paid Search,67653.02,267209,15948,1271
2026-01-01,CAM032,Affiliate,25935.58,110869,4223,219
2026-01-01,CAM033,Paid Social,55726.64,229052,9962,571
2026-01-01,CAM034,Affiliate,23855.13,107420,3654,214
2026-01-01,CAM035,Paid Social,45856.14,210285,9291,513
2026-01-01,CAM036,Paid Social,54728.35,253403,10032,574
2026-01-01,CAM037,Display,35277.64,188208,4716,179
2026-01-01,CAM038,Display,29777.35,127545,3385,129
2026-01-01,CAM039,Email,19205.15,136875,11587,1256
2026-01-01,CAM040,Affiliate,28460.62,128425,4707,276
2026-01-01,CAM041,Paid Social,63895.69,312180,11848,703
2026-01-01,CAM042,Email,16536.6,98567,8003,721
2026-01-01,CAM043,Paid Search,48555.76,152875,7719,574
2026-01-01,CAM044,Paid Social,51637.79,197834,8389,466
2026-01-02,CAM001,Affiliate,22877.95,92121,3508,186
2026-01-02,CAM002,Email,17299.08,124413,9645,896
2026-01-02,CAM003,Paid Search,48607.79,150639,8684,639
2026-01-02,CAM004,Display,33135.29,145295,3615,132
2026-01-02,CAM005,Affiliate,24917.92,111562,4148,250
2026-01-02,CAM006,Paid Search,55542.0,213620,11602,832
2026-01-02,CAM007,Display,36831.59,191862,4319,159
2026-01-02,CAM008,Paid Search,59054.45,236109,13148,1041
2026-01-02,CAM009,Affiliate,27610.71,112935,3932,206
2026-01-02,CAM010,Email,15608.24,118866,9691,1020
2026-01-02,CAM011,Affiliate,27903.27,104751,3667,182
2026-01-02,CAM012,Email,18451.3,118283,9001,832
2026-01-02,CAM013,Affiliate,23204.34,105603,3787,225
2026-01-02,CAM014,Paid Social,58176.49,254229,9820,581
2026-01-02,CAM015,Paid Search,55207.28,171170,9998,788
2026-01-02,CAM016,Paid Search,42300.69,139599,7257,527
2026-01-02,CAM017,Paid Social,79210.4,407448,15850,1031
2026-01-02,CAM018,Email,19271.72,118038,9970,1013
2026-01-02,CAM019,Paid Search,55758.57,192173,9618,761
2026-01-02,CAM020,Paid Social,55049.74,255572,10515,671
2026-01-02,CAM021,Paid Search,44127.55,148210,8832,619
2026-01-02,CAM022,Display,35466.54,163952,4421,142
2026-01-02,CAM023,Email,21101.07,155778,13189,1269
2026-01-02,CAM024,Display,32238.42,165644,3989,149
2026-01-02,CAM025,Email,19653.15,154357,12244,1170
2026-01-02,CAM026,Paid Social,57821.95,233486,8988,527
2026-01-02,CAM027,Email,16725.45,132708,10890,987
2026-01-02,CAM028,Email,17263.73,102754,8950,956
2026-01-02,CAM029,Paid Social,64467.97,262613,10396,576
2026-01-02,CAM030,Email,17301.85,123097,9530,1040
2026-01-02,CAM031,Paid Search,47944.5,166177,8256,571
2026-01-02,CAM032,Affiliate,24000.49,95233,3449,174
2026-01-02,CAM033,Paid Social,66799.8,312196,13814,791
