order_id,date,product_id,region,customer_segment,channel,quantity,revenue
ORD0000001,2026-01-01,P023,North,Budget,Marketplace,2,7834.11
ORD0000002,2026-01-01,P026,North,Regular,Mobile App,2,71124.1
ORD0000003,2026-01-01,P050,North,Regular,Marketplace,1,1875.1
ORD0000004,2026-01-01,P021,North,Regular,Mobile App,4,116159.13
ORD0000005,2026-01-01,P045,North,Regular,Marketplace,2,48677.83
ORD0000006,2026-01-01,P039,North,Regular,Mobile App,1,3983.47
ORD0000007,2026-01-01,P030,North,Regular,Online,4,5301.2
ORD0000008,2026-01-01,P040,North,Regular,Store,2,7160.79
ORD0000009,2026-01-01,P014,North,Budget,Online,3,65922.47
ORD0000010,2026-01-01,P017,North,Regular,Mobile App,2,51866.88
ORD0000011,2026-01-01,P003,North,Regular,Online,2,112674.65
ORD0000012,2026-01-01,P012,North,Regular,Online,4,10822.07
ORD0000013,2026-01-01,P044,North,Regular,Online,2,14177.53
ORD0000014,2026-01-01,P029,North,Budget,Mobile App,3,5478.05
ORD0000015,2026-01-01,P011,North,Regular,Mobile App,1,156.98
ORD0000016,2026-01-01,P011,North,Budget,Online,3,456.23
ORD0000017,2026-01-01,P035,North,Regular,Online,1,7312.4
ORD0000018,2026-01-01,P040,North,Regular,Mobile App,1,3652.55
ORD0000019,2026-01-01,P003,North,Regular,Marketplace,1,52688.27
ORD0000020,2026-01-01,P045,North,Regular,Mobile App,1,24996.92
ORD0000021,2026-01-01,P035,North,Premium,Online,2,14066.62
ORD0000022,2026-01-01,P032,North,Budget,Marketplace,1,9489.13
ORD0000023,2026-01-01,P032,North,Budget,Store,2,19765.53
ORD0000024,2026-01-01,P012,North,Premium,Mobile App,2,5368.3
ORD0000025,2026-01-01,P001,North,Regular,Mobile App,1,1173.63
ORD0000026,2026-01-01,P021,North,Regular,Mobile App,1,28110.11
ORD0000027,2026-01-01,P028,North,Premium,Store,2,2899.05
ORD0000028,2026-01-01,P041,North,Regular,Marketplace,2,2732.25
ORD0000029,2026-01-01,P025,North,Regular,Online,1,5371.32
ORD0000030,2026-01-01,P046,North,Enterprise,Marketplace,1,50424.6
ORD0000031,2026-01-01,P024,North,Budget,Online,1,33103.23
ORD0000032,2026-01-01,P016,North,Premium,Online,2,2658.06
ORD0000033,2026-01-01,P040,North,Regular,Marketplace,1,3875.48
ORD0000034,2026-01-01,P010,North,Enterprise,Mobile App,1,50552.18
ORD0000035,2026-01-01,P002,North,Budget,Store,1,66073.21
ORD0000036,2026-01-01,P018,North,Regular,Online,1,39321.39
ORD0000037,2026-01-01,P024,North,Regular,Online,1,32090.46
ORD0000038,2026-01-01,P040,North,Enterprise,Marketplace,2,7548.47
ORD0000039,2026-01-01,P035,North,Regular,Marketplace,1,7630.83
